category_id,views_fd,likes_fd,dislikes_fd,comment_count_fd,weekday_weekend,days_spent_trending
19,373796,12736,686,4280,0,13
24,266935,22085,174,2647,1,13
15,80528,4097,40,318,1,13
27,253926,5699,203,731,1,13
1,723555,14400,169,611,0,13
1,139806,3037,93,121,1,13
24,142903,442,147,135,0,13
22,646659,18353,340,598,0,13
24,596482,45517,315,5077,1,13
22,804596,64415,3656,5784,1,13
24,543297,24956,510,3609,0,13
17,386450,3149,226,669,0,13
24,523491,14551,127,770,0,13
10,2112785,123166,823,9776,0,13
24,366647,7503,244,639,0,13
10,202721,7778,167,336,1,13
10,5884233,1437859,6390,134721,0,13
23,1918191,111886,2211,8141,1,13
24,1629396,36101,5190,5603,1,13
24,158399,9250,110,534,0,13
24,326338,6665,219,431,0,13
24,1003307,25190,932,1524,0,13
23,571204,10194,1055,1278,1,13
10,362255,42652,647,3027,0,13
24,496129,47459,763,4741,0,13
24,2078256,36741,1037,1994,1,13
23,1790451,179667,1235,7524,1,13
26,152697,5341,202,774,0,13
24,290912,8545,332,939,1,13
26,503442,33164,1120,3197,1,13
23,2771499,282691,2814,14289,0,13
10,906053,93269,847,4717,0,13
23,880458,17037,300,2266,0,13
25,486688,11540,12891,16387,1,13
22,2256007,143521,20931,29992,0,13
23,1671521,48592,3250,3827,0,13
1,540275,11737,686,2273,0,13
26,215791,12999,179,1231,0,13
28,1890582,11190,141,739,0,13
25,2176202,14765,1702,3085,1,13
17,10929365,508108,6326,31304,0,13
24,146669,2459,77,348,0,13
26,708610,42225,566,83363,0,13
10,5050147,255343,11130,21809,0,13
26,245207,14605,341,1256,1,13
10,14755537,858708,8024,150036,0,13
23,181782,5659,102,271,0,13
10,970186,95674,1828,5882,0,13
25,29284,141,194,360,0,13
22,465199,10458,220,460,0,13
23,734844,43116,580,28377,0,13
24,1044513,77447,332,3436,0,13
28,692006,22148,1435,2452,0,13
28,237161,9195,190,894,0,13
26,233758,6806,130,549,0,13
26,239821,10456,118,1170,0,13
26,1868890,160919,6156,33846,1,13
27,190381,8819,127,496,0,13
22,1372992,55290,1852,5858,1,13
1,963212,20214,5209,1879,0,13
